スライム,<table border="1" class="data"><tr><td>195</td><td>157</td><td>215</td><td>166</td><td>175</td><td>209</td><td>190</td><td>1307</td></tr></table>
はぐれスライム,<table border="1" class="data"><tr><td>176</td><td>171</td><td>206</td><td>141</td><td>204</td><td>223</td><td>228</td><td>1349</td></tr></table>
メタルスライム,<table border="1" class="data"><tr><td>155</td><td>177</td><td>195</td><td>486</td><td>235</td><td>219</td><td>240</td><td>1707</td></tr></table>
ゴブリンソード,<table border="1" class="data"><tr><td>202</td><td>117</td><td>234</td><td>226</td><td>195</td><td>169</td><td>130</td><td>1273</td></tr></table>
ゴブリンアクス,<table border="1" class="data"><tr><td>202</td><td>107</td><td>254</td><td>226</td><td>195</td><td>159</td><td>125</td><td>1268</td></tr></table>
ゴブリンメイジ,<table border="1" class="data"><tr><td>202</td><td>212</td><td>156</td><td>226</td><td>195</td><td>229</td><td>178</td><td>1398</td></tr></table>
ダークゴブリン,<table border="1" class="data"><tr><td>214</td><td>107</td><td>234</td><td>231</td><td>215</td><td>159</td><td>160</td><td>1320</td></tr></table>
ゴブリンハンマー,<table border="1" class="data"><tr><td>232</td><td>97</td><td>261</td><td>236</td><td>175</td><td>149</td><td>145</td><td>1295</td></tr></table>
シルバーゴブリン,<table border="1" class="data"><tr><td>227</td><td>216</td><td>176</td><td>226</td><td>185</td><td>219</td><td>193</td><td>1442</td></tr></table>
オーク,<table border="1" class="data"><tr><td>237</td><td>144</td><td>194</td><td>243</td><td>195</td><td>148</td><td>149</td><td>1310</td></tr></table>
レディオーク,<table border="1" class="data"><tr><td>188</td><td>191</td><td>145</td><td>244</td><td>194</td><td>195</td><td>197</td><td>1354</td></tr></table>
ギガオーク,<table border="1" class="data"><tr><td>344</td><td>97</td><td>339</td><td>194</td><td>96</td><td>118</td><td>140</td><td>1328</td></tr></table>
サソリン,<table border="1" class="data"><tr><td>189</td><td>142</td><td>244</td><td>305</td><td>216</td><td>132</td><td>143</td><td>1371</td></tr></table>
ツインテール,<table border="1" class="data"><tr><td>189</td><td>117</td><td>252</td><td>292</td><td>204</td><td>129</td><td>143</td><td>1326</td></tr></table>
ハサミムカデ,<table border="1" class="data"><tr><td>197</td><td>122</td><td>252</td><td>325</td><td>214</td><td>119</td><td>129</td><td>1358</td></tr></table>
デビルアゲハ,<table border="1" class="data"><tr><td>172</td><td>212</td><td>164</td><td>168</td><td>232</td><td>245</td><td>259</td><td>1452</td></tr></table>
デスクラブ,<table border="1" class="data"><tr><td>208</td><td>161</td><td>258</td><td>309</td><td>204</td><td>143</td><td>148</td><td>1431</td></tr></table>
クラブアーマー,<table border="1" class="data"><tr><td>180</td><td>171</td><td>238</td><td>343</td><td>194</td><td>163</td><td>171</td><td>1460</td></tr></table>
人食い草,<table border="1" class="data"><tr><td>230</td><td>171</td><td>197</td><td>121</td><td>101</td><td>208</td><td>202</td><td>1230</td></tr></table>
